ID	LABEL	FNDDS1112	FNDDS1314
FNDDS_11460430	Yogurt, frozen, chocolate, whole milk	11460430	11460430
FNDDS_11460440	Yogurt, frozen, flavors other than chocolate, whole milk	11460440	11460440
FNDDS_11461000	Yogurt, frozen, chocolate-coated	11461000	11461000
FNDDS_11461200	Yogurt, frozen, sandwich	11461200	11461200
FNDDS_11461250	Yogurt, frozen, cone, chocolate	11461250	11461250
FNDDS_11461260	Yogurt, frozen, cone, flavors other than chocolate	11461260	11461260
FNDDS_11461270	Yogurt, frozen, cone, flavors other than chocolate, lowfat milk	11461270	11461270
FNDDS_11461280	Yogurt, frozen, cone, chocolate, lowfat milk	11461280	11461280
FNDDS_11480010	Yogurt, whole milk, baby food	11480010	11480010
FNDDS_11480020	Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS	11480020	11480020
FNDDS_11480030	Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron	11480030	11480030
FNDDS_11480040	Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA	11480040	11480040
FNDDS_11511000	Chocolate milk, NFS	11511000	11511000
FNDDS_11511100	Chocolate milk, ready to drink, whole	11511100	11511100
FNDDS_11511200	Chocolate milk, ready to drink, reduced fat (2%)	11511200	11511200
FNDDS_11511300	Chocolate milk, ready to drink, fat free (skim)	11511300	11511300
FNDDS_11511400	Chocolate milk, ready to drink, low fat (1%)	11511400	11511400
FNDDS_11511550	Chocolate milk, ready to drink, reduced sugar, NS as to milk		11511550
FNDDS_11511600	Nesquik, chocolate milk, ready to drink, low fat (1%)		11511600
FNDDS_11511610	Nesquik, chocolate milk, ready to drink, fat free (skim)		11511610
FNDDS_11511700	Nesquik, chocolate milk, ready to drink, low fat (1%), no sugar added		11511700
FNDDS_11512010	Hot chocolate / Cocoa, ready to drink	11512500	11512010
FNDDS_11512020	Hot chocolate / Cocoa, ready to drink, made with nonfat milk	11512510	11512020
FNDDS_11512030	Hot chocolate / Cocoa, ready to drink, made with non-dairy milk		11512030
FNDDS_11512100	Hot chocolate / Cocoa, ready to drink, with whipped cream		11512100
FNDDS_11512110	Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream		11512110
FNDDS_11512120	Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream		11512120
FNDDS_11513000	Chocolate milk, made from dry mix, NS as to type of milk	11513000	11513000
FNDDS_11513100	Chocolate milk, made from dry mix with whole milk	11513100	11513100
FNDDS_11513150	Chocolate milk, made from dry mix with reduced fat milk (2%)	11513150	11513150
FNDDS_11513200	Chocolate milk, made from dry mix with low fat milk (1%)	11513200	11513200
FNDDS_11513300	Chocolate milk, made from dry mix with fat free milk (skim)	11513300	11513300
FNDDS_11513310	Chocolate milk, made from dry mix with non-dairy milk		11513310
FNDDS_11513350	Chocolate milk, made from reduced sugar mix, NS as to type of milk	11513350	11513350
FNDDS_11513355	Chocolate milk, made from reduced sugar mix with whole milk	11513355	11513355
FNDDS_11513360	Chocolate milk, made from reduced sugar mix with reduced fat milk (2%)	11513360	11513360
FNDDS_11513365	Chocolate milk, made from reduced sugar mix with low fat milk (1%)	11513365	11513365
FNDDS_11513370	Chocolate milk, made from reduced sugar mix with fat free milk (skim)	11513370	11513370
FNDDS_11513375	Chocolate milk, made from reduced sugar mix with non-dairy milk		11513375
FNDDS_11513380	Nesquik, chocolate milk, made from dry mix, NS as to type of milk		11513380
FNDDS_11513381	Nesquik, chocolate milk, made from dry mix with whole milk		11513381
FNDDS_11513382	Nesquik, chocolate milk, made from dry mix with reduced fat milk (2%)		11513382
FNDDS_11513383	Nesquik, chocolate milk, made from dry mix with low fat milk (1%)		11513383
FNDDS_11513384	Nesquik, chocolate milk, made from dry mix with fat free milk (skim)		11513384
FNDDS_11513385	Nesquik, chocolate milk, made from dry mix with non-dairy milk		11513385
FNDDS_11513390	Nesquik, chocolate milk, made from no sugar added dry mix, NS as to type of milk		11513390
FNDDS_11513391	Nesquik, chocolate milk, made from no sugar added dry mix with whole milk		11513391
FNDDS_11513392	Nesquik, chocolate milk, made from no sugar added dry mix with reduced fat milk (2%)		11513392
FNDDS_11513393	Nesquik, chocolate milk, made from no sugar added dry mix with low fat milk (1%)	11516000	11513393
FNDDS_11513394	Nesquik, chocolate milk, made from no sugar added dry mix with fat free milk (skim)		11513394
FNDDS_11513395	Nesquik, chocolate milk, made from no sugar added dry mix with non-dairy milk		11513395
FNDDS_11513400	Chocolate milk, made from syrup, NS as to type of milk	11513400	11513400
FNDDS_11513500	Chocolate milk, made from syrup with whole milk	11513500	11513500
FNDDS_11513550	Chocolate milk, made from syrup with reduced fat milk (2%)	11513550	11513550
FNDDS_11513600	Chocolate milk, made from syrup with low fat milk (1%)	11513600	11513600
FNDDS_11513700	Chocolate milk, made from syrup with fat free milk (skim)	11513700	11513700
FNDDS_11513750	Chocolate milk, made from syrup with non-dairy milk		11513750
FNDDS_11513800	Chocolate milk, made from light syrup, NS as to type of milk		11513800
FNDDS_11513801	Chocolate milk, made from light syrup with whole milk		11513801
