ID	LABEL	SR26	SR27	SR28
SR_1106	Milk, goat, fluid, with added vitamin D	1106	1106	1106
SR_1107	Milk, human, mature, fluid	1107	1107	1107
SR_1108	Milk, indian buffalo, fluid	1108	1108	1108
SR_1109	Milk, sheep, fluid	1109	1109	1109
SR_1110	Milk shakes, thick chocolate	1110	1110	1110
SR_1111	Milk shakes, thick vanilla	1111	1111	1111
SR_1112	Whey, acid, fluid	1112	1112	1112
SR_1113	Whey, acid, dried	1113	1113	1113
SR_1114	Whey, sweet, fluid	1114	1114	1114
SR_1115	Whey, sweet, dried	1115	1115	1115
SR_1116	Yogurt, plain, whole milk, 8 grams protein per 8 ounce	1116	1116	1116
SR_1117	Yogurt, plain, low fat, 12 grams protein per 8 ounce	1117	1117	1117
SR_1118	Yogurt, plain, skim milk, 13 grams protein per 8 ounce	1118	1118	1118
SR_1119	Yogurt, vanilla, low fat, 11 grams protein per 8 ounce	1119	1119	1119
SR_1120	Yogurt, fruit, low fat, 9 grams protein per 8 ounce	1120	1120	1120
SR_1121	Yogurt, fruit, low fat, 10 grams protein per 8 ounce	1121	1121	1121
SR_1122	Yogurt, fruit, low fat, 11 grams protein per 8 ounce	1122	1122	1122
SR_1123	Egg, whole, raw, fresh	1123	1123	1123
SR_1124	Egg, white, raw, fresh	1124	1124	1124
SR_1125	Egg, yolk, raw, fresh	1125	1125	1125
SR_1126	Egg, yolk, raw, frozen, pasteurized	1126	1126	1126
SR_1127	Egg, yolk, raw, frozen, sugared, pasteurized	1127	1127	1127
SR_1128	Egg, whole, cooked, fried	1128	1128	1128
SR_1129	Egg, whole, cooked, hard-boiled	1129	1129	1129
SR_1130	Egg, whole, cooked, omelet	1130	1130	1130
SR_1131	Egg, whole, cooked, poached	1131	1131	1131
SR_1132	Egg, whole, cooked, scrambled	1132	1132	1132
SR_1133	Egg, whole, dried	1133	1133	1133
SR_1134	Egg, whole, dried, stabilized, glucose reduced	1134	1134	1134
SR_1135	Egg, white, dried, flakes, stabilized, glucose reduced	1135	1135	1135
SR_1136	Egg, white, dried, powder, stabilized, glucose reduced	1136	1136	1136
SR_1137	Egg, yolk, dried	1137	1137	1137
SR_1138	Egg, duck, whole, fresh, raw	1138	1138	1138
SR_1139	Egg, goose, whole, fresh, raw	1139	1139	1139
SR_1140	Egg, quail, whole, fresh, raw	1140	1140	1140
SR_1141	Egg, turkey, whole, fresh, raw	1141	1141	1141
SR_1144	Egg substitute, powder	1144	1144	1144
SR_1145	Butter, without salt	1145	1145	1145
SR_1146	Cheese, parmesan, shredded	1146	1146	1146
SR_1151	Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)	1151	1151	1151
SR_1152	Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A	1152	1152	1152
SR_1153	Milk, canned, evaporated, with added vitamin A	1153	1153	1153
SR_1154	Milk, dry, nonfat, regular, with added vitamin A and vitamin D	1154	1154	1154
SR_1155	Milk, dry, nonfat, instant, without added vitamin A and vitamin D	1155	1155	1155
SR_1156	Cheese, goat, hard type	1156	1156	1156
SR_1157	Cheese, goat, semisoft type	1157	1157	1157
SR_1159	Cheese, goat, soft type	1159	1159	1159
SR_1160	Egg, yolk, raw, frozen, salted, pasteurized	1160	1160	1160
SR_1161	Cheese substitute, mozzarella	1161	1161	1161
SR_1164	Cheese sauce, prepared from recipe	1164	1164	1164
SR_1165	Cheese, mexican, queso anejo	1165	1165	1165
SR_1166	Cheese, mexican, queso asadero	1166	1166	1166
SR_1167	Cheese, mexican, queso chihuahua	1167	1167	1167
SR_1168	Cheese, low fat, cheddar or colby	1168	1168	1168
SR_1169	Cheese, low-sodium, cheddar or colby	1169	1169	1169
SR_1171	Egg, whole, raw, frozen, pasteurized	1171	1171	1171
SR_1172	Egg, white, raw, frozen, pasteurized	1172	1172	1172
SR_1173	Egg, white, dried	1173	1173	1173
SR_1174	Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D	1174	1174	1174
SR_1175	Milk, fluid, 1% fat, without added vitamin A and vitamin D	1175	1175	1175
SR_1178	Sour cream, reduced fat	1178	1178	1178
SR_1179	Sour cream, light	1179	1179	1179
SR_1180	Sour cream, fat free	1180	1180	1180
SR_1182	USDA Commodity, cheese, cheddar, reduced fat	1182	1182	1182
SR_1184	Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener	1184	1184	1184
SR_1185	Parmesan cheese topping, fat free	1185	1185	1185
SR_1186	Cheese, cream, fat free	1186	1186	1186
SR_1187	Yogurt, chocolate, nonfat milk	1187	1187	1187
SR_1188	KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce	1188	1188	1188
SR_1189	KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product	1189	1189	1189
SR_1190	KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product	1190	1190	1190
SR_1191	KRAFT VELVEETA Pasteurized Process Cheese Spread	1191	1191	1191
SR_1192	KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product	1192	1192	1192
SR_1193	KRAFT BREAKSTONE'S Reduced Fat Sour Cream	1193	1193	1193
SR_1194	KRAFT BREAKSTONE'S FREE Fat Free Sour Cream	1194	1194	1194
SR_1199	Cream, half and half, fat free	1199	1199	1199
SR_1200	Reddi Wip Fat Free Whipped Topping	1200	1200	1200
SR_1202	Milk, chocolate, fluid, commercial, reduced fat, with added calcium	1202	1202	1202
SR_1203	Yogurt, fruit, lowfat, with low calorie sweetener	1203	1203	1203
SR_1204	Cheese, parmesan, dry grated, reduced fat	1204	1204	1204
SR_1205	Cream substitute, flavored, liquid	1205	1205	1205
SR_1206	Cream substitute, flavored, powdered	1206	1206	1206
SR_1208	Cheese, provolone, reduced fat	1208	1208	1208
SR_1209	Cheese, Mexican, blend, reduced fat	1209	1209	1209
SR_1210	Egg Mix, USDA Commodity	1210	1210	1210
SR_1211	Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D	1211	1211	1211
SR_1212	Milk, dry, whole, without added vitamin D	1212	1212	1212
SR_1214	Milk, canned, evaporated, without added vitamin A and vitamin D	1214	1214	1214
SR_1215	Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D	1215	1215	1215
SR_1216	Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D	1216	1216	1216
SR_1217	Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D	1217	1217	1217
SR_1218	Yogurt, fruit variety, nonfat, fortified with vitamin D	1218	1218	1218
SR_1219	Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D	1219	1219	1219
